description,category
It was a play ground before . now they are burning many garbages creating pollution,Waste/Garbage
Non-biodegradable bag,Plastic
"This can be prohibited traffic is being hel always
",Traffic/Parking
"From yesterday garbage is dumped near my house...
No one has cleaned it........",Waste/Garbage
There is lots of garbage ,Waste/Garbage
Please save the water. So that we can save the next generation ,Water
Water pollution,Water
"More smell is coming from it
",Sewage
People throw their garbage here and make them a dirty feast for the cattles in the neighborhood,Waste/Garbage
This garbage dump is causing most of the pollution on the road and domestic animals like cow and other animals eat the garbage in it which is very harmful,Waste/Garbage
Roti mane shop using plastic bag ,Plastic
Street lights are very important then only we can ride bikes and accidents can happen because street lights are not working.,Streetlights
"Rain  water is being  massievly colected in pot holes a
nd mosquitoes are laying eggs here and as you know this is very dangerous.This has to be solved.",Water
People keep their house wastes here which is ignored by rag pickers,Waste/Garbage
"Garbage dumping where nobody can walk and becoming dangerous for animals living in that area and also a vacant place behind the garbage
",Waste/Garbage
People from the nearby threw their things here,Waste/Garbage
We know the chennai is also known polluted area.this time only one or two hours but we will not burst.because we will not pollute the atmosphere. We have to give care to the environment not danger.,Air
Waste piled upon on this place and nearly no actions have been taken for 1 month,Waste/Garbage
Parking on footpath,Traffic/Parking
People's are using the use and throw plastic ,Plastic
"Sewage water letting out by tankers on service road instead of recycling it and lett
ing out",Waste/Garbage
Please take action on this matter. ,Potholes
We will make the country pure ,Water
"Hi my name is Aaryan! from D.A.V Mogappair of class 7A . There is plastic in many areas and most of them are dumped outside the dustbin. So I request to clean it
",Waste/Garbage
They are no ticking garbage regularly ,Waste/Garbage
Mixed waste dumped near signal,Waste/Garbage
"This garbage is near a school. Many children might get many diseases.
",Waste/Garbage
Throughing garbage on roadside,Waste/Garbage
Need to clean these due to this many mosqitous are comming,Waste/Garbage
We need to use water filter in taps while using so that less amount are used every time. Also we need to take water in jug while brushing our teeth so that we can save plenty of water ,Water
"Everytime when i cross the road i noticed that garbage are not in the dust in but i on the groung.I ask u to kindly clear them
",Waste/Garbage
Overflow of garbage and not cleared and spreaded outside the dustbin. The street dogs and cows eat those garbage. These are not cleared on time.and spread diseases through mosquitoes or by microbes ,Waste/Garbage
Maintenance of manholes,Potholes
Maintain these,Potholes
Flooding  in roads,Water
Water gets logged in the street due to rain. Not able to walk and ride bike.,Water
Bikes are parked in the footpath,Traffic/Parking
Road of Kumarns DKS becomes slushy and slippery after a shower of rain. Two wheeler drivers are facing difficulties to ride in this road. There is no proper footpaths for pedestrians.,Potholes
Please don't do this any more. ,Traffic/Parking
Please don't do this any more. ,Traffic/Parking
Flooding in roads,Water
Hangling in cable wires,Streetlights
Do not put garbage in water it is harmful to animals living in water,Waste/Garbage
People's are dumping the garbage this land this area  have more children  garbage causes so many diseases,Waste/Garbage
"Vehicles parked on the 4th Cross Stree, R.K.Nagar, R.A.Puram. leads to traffic congestion.",Traffic/Parking
"Plates and glasses 
",Plastic
"Pooja items in single use plastic bag
",Plastic
It is creating unpleasant gases .,Air
Please dump garbage in clean areas,Waste/Garbage
Dc,Waste/Garbage
Wrong parking,Traffic/Parking
This was once a very beautiful place full of trees now they are building a RTO office here,Sewage
It looks ugly and smells bad.,Waste/Garbage
Garbage near electrical transformer,Waste/Garbage
"They look so bad. Spoil the beauty of our beloved land,",Waste/Garbage
There is no dustbin to be found and garbage is dumped by  people on the platform,Waste/Garbage
"People throw garbage during night time so that nobody can notice them ,few months ago our corporator had made the spot clear but again the people have started dumping garbage.",Waste/Garbage
No place for traffic to move,Traffic/Parking
Near my bus stop the sewage pipes are always leaking and it difficult for cars to go.,Sewage
"This has been there for many years , anyone or someone please clear this area .",Waste/Garbage
"The waste plastic should not only in the land because it is very thing for many living organisms and their land will get spoilt in the water also cannot go inside the land so don't put plastic 
",Plastic
Many of them near my house are leaking the water in roads . We should stop this because we should save water for our future generations,Water
Daru so much of air pollution in Chennai Tamil Nadu and in India the world is suffering from air pollution air pollution is dangerous to many living organisms even though to the human also,Air
Because of many vehicles many many many air pollution is released the air pollution should not released Itni of the ozone layer and the harmful rays of the sun attack us,Air
There is many hole in the road when the rain comes it store in that holds and it is tough who is driving the vehicle on the people who walk on the roads that is our government should lay  a Road,Potholes
For many e things we are burning crackers you should not do like that because cracker release your home full gas which affect the Ozone layer in the atmosphere it will make a big air pollution,Air
The area stinks alot,Waste/Garbage
"This place is being dumped with a lot of garbage.Many cows come here to graze and end up eating the plastic bags. This place is also really unhygienic.Please clear the garbage.

",Waste/Garbage
We should not waste the even a single drop of water the single drop of water can change many things we should keep water for next generation save water and nature for the future,Water
Please deal with electricians,Streetlights
Please ensure not to pollute the road,Air
Sewage link should not be e liquid because it cause more bad smell and many harmful insect attack we should not leak we should not leak it,Sewage
Please follow the rules and regulation. ,Traffic/Parking
Pls solve this fast as you could,Potholes
The entire Akshayanagara area has bad roads. Have registered multiple complaints,Potholes
Tap leakage ,Water
Wrong parking ,Traffic/Parking
Garbage dump,Waste/Garbage
"We know that delhi is known as the dead air quality. So the people are polluting the nature. Everyday the air quality is increasing.we have to keep full stop full stop today 
",Air
She road leading to Kumarans Doddakalsandra becomes slushy after a shower of rain. The two wheeler drivers and pedestrians who walk in the road are facing lots of problems. There is no footpaths also.,Water
"Wear helmets

",Air
Workers can come,Waste/Garbage
